,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both
Spreadsheet: PlayerAction,<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Aisha</b> tries to climb on the salamanderâ€™s back and wrestle it into a choke hold.,<em><b>Aisha</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,"<em><b>Jack</b> leaps at the ogre, trying to land a killing blow.",<em><b>Jack</b> tries to rely on his intelligence to open the box.,<em><b>Aisha</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Jack</b> attempts to use his wit to solve the riddle.,<em><b>Aisha</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Aisha</b> tethers herself to a rope and walks across.,<em><b>Jack</b> tries to cleverly decipher the combination on the lock.,<em><b>Jack</b> charges the gladiator and swings with all his strength.,<em><b>Aisha</b> relies on her intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657256.0,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,40-60
8657274.0,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Punish,60-40
8657289.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,40-60
8657293.0,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,0-100
8657294.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,40-60
8657305.0,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Punish,40-60
8657311.0,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Reward,20-80
8657321.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,40-60
8657322.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,60-40
8657323.0,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,100-0
8657327.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
8657328.0,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward,60-40
8657330.0,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Punish,40-60
8657334.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,60-40
8657345.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,40-60
8657346.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,40-60
8657351.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,40-60
8657362.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,100-0
8657374.0,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,20-80
8657385.0,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,60-40
8657393.0,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,40-60
8657433.0,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,20-80
8657471.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,60-40
