,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
0,9395401.0,STR,Emma,Out,2.0,Reward
1,9395401.0,DIR,Yuxi,In,1.0,Reward
2,9395401.0,DIR,Emma,Out,2.0,Punish
3,9395401.0,STR,Yuxi,In,1.0,Reward
4,9395401.0,INT,Yuxi,In,1.0,Reward
5,9395401.0,STR,Emma,Out,2.0,Punish
6,9395401.0,DIR,Yuxi,In,1.0,Punish
7,9395401.0,INT,Emma,Out,2.0,Reward
8,9395401.0,STR,Yuxi,In,1.0,Punish
9,9395401.0,INT,Emma,Out,2.0,Reward
10,9395401.0,DIR,Emma,Out,2.0,Reward
11,9395401.0,STR,Yuxi,In,1.0,Punish
12,9395401.0,INT,Yuxi,In,1.0,Reward
13,9395401.0,DIR,Emma,Out,2.0,Punish
14,9395401.0,DIR,Yuxi,In,1.0,Punish
15,9395401.0,INT,Emma,Out,2.0,Punish
16,9395401.0,STR,Emma,Out,2.0,Reward
17,9395401.0,INT,Yuxi,In,1.0,Reward
18,9395401.0,,,,,100-0
19,9395458.0,STR,Emma,Out,2.0,Punish
20,9395458.0,DIR,Yuxi,In,1.0,Reward
21,9395458.0,DIR,Emma,Out,2.0,Reward
22,9395458.0,STR,Yuxi,In,1.0,Punish
23,9395458.0,INT,Yuxi,In,1.0,Reward
24,9395458.0,STR,Emma,Out,2.0,Reward
25,9395458.0,DIR,Yuxi,In,1.0,Punish
26,9395458.0,INT,Emma,Out,2.0,Punish
27,9395458.0,STR,Yuxi,In,1.0,Reward
28,9395458.0,INT,Emma,Out,2.0,Reward
29,9395458.0,DIR,Emma,Out,2.0,Reward
30,9395458.0,STR,Yuxi,In,1.0,Reward
31,9395458.0,INT,Yuxi,In,1.0,Reward
32,9395458.0,DIR,Emma,Out,2.0,Punish
33,9395458.0,DIR,Yuxi,In,1.0,Punish
34,9395458.0,INT,Emma,Out,2.0,Punish
35,9395458.0,STR,Emma,Out,2.0,Reward
36,9395458.0,INT,Yuxi,In,1.0,Punish
37,9395458.0,,,,,60-40
38,9395451.0,STR,Emma,Out,2.0,Reward
39,9395451.0,DIR,Yuxi,In,1.0,Reward
40,9395451.0,DIR,Emma,Out,2.0,Reward
41,9395451.0,STR,Yuxi,In,1.0,Punish
42,9395451.0,INT,Yuxi,In,1.0,Reward
43,9395451.0,STR,Emma,Out,2.0,Reward
44,9395451.0,DIR,Yuxi,In,1.0,Reward
45,9395451.0,INT,Emma,Out,2.0,Punish
46,9395451.0,STR,Yuxi,In,1.0,Reward
47,9395451.0,INT,Emma,Out,2.0,Punish
48,9395451.0,DIR,Emma,Out,2.0,Punish
49,9395451.0,STR,Yuxi,In,1.0,Reward
50,9395451.0,INT,Yuxi,In,1.0,Reward
51,9395451.0,DIR,Emma,Out,2.0,Reward
52,9395451.0,DIR,Yuxi,In,1.0,Punish
53,9395451.0,INT,Emma,Out,2.0,Punish
54,9395451.0,STR,Emma,Out,2.0,Punish
55,9395451.0,INT,Yuxi,In,1.0,Punish
56,9395451.0,,,,,60-40
57,9395347.0,STR,Emma,Out,2.0,Reward
58,9395347.0,DIR,Yuxi,In,1.0,Reward
59,9395347.0,DIR,Emma,Out,2.0,Reward
60,9395347.0,STR,Yuxi,In,1.0,Punish
61,9395347.0,INT,Yuxi,In,1.0,Punish
62,9395347.0,STR,Emma,Out,2.0,Reward
63,9395347.0,DIR,Yuxi,In,1.0,Punish
64,9395347.0,INT,Emma,Out,2.0,Reward
65,9395347.0,STR,Yuxi,In,1.0,Reward
66,9395347.0,INT,Emma,Out,2.0,Punish
67,9395347.0,DIR,Emma,Out,2.0,Reward
68,9395347.0,STR,Yuxi,In,1.0,Reward
69,9395347.0,INT,Yuxi,In,1.0,Punish
70,9395347.0,DIR,Emma,Out,2.0,Punish
71,9395347.0,DIR,Yuxi,In,1.0,Reward
72,9395347.0,INT,Emma,Out,2.0,Punish
73,9395347.0,STR,Emma,Out,2.0,Reward
74,9395347.0,INT,Yuxi,In,1.0,Punish
75,9395347.0,,,,,60-40
76,9395284.0,STR,Emma,Out,2.0,Punish
77,9395284.0,DIR,Yuxi,In,1.0,Reward
78,9395284.0,DIR,Emma,Out,2.0,Reward
79,9395284.0,STR,Yuxi,In,1.0,Punish
80,9395284.0,INT,Yuxi,In,1.0,Reward
81,9395284.0,STR,Emma,Out,2.0,Punish
82,9395284.0,DIR,Yuxi,In,1.0,Punish
83,9395284.0,INT,Emma,Out,2.0,Reward
84,9395284.0,STR,Yuxi,In,1.0,Reward
85,9395284.0,INT,Emma,Out,2.0,Reward
86,9395284.0,DIR,Emma,Out,2.0,Reward
87,9395284.0,STR,Yuxi,In,1.0,Punish
88,9395284.0,INT,Yuxi,In,1.0,Reward
89,9395284.0,DIR,Emma,Out,2.0,Reward
90,9395284.0,DIR,Yuxi,In,1.0,Punish
91,9395284.0,INT,Emma,Out,2.0,Reward
92,9395284.0,STR,Emma,Out,2.0,Punish
93,9395284.0,INT,Yuxi,In,1.0,Punish
94,9395284.0,,,,,60-40
95,9395046.0,STR,Emma,Out,2.0,Reward
96,9395046.0,DIR,Yuxi,In,1.0,Reward
97,9395046.0,DIR,Emma,Out,2.0,Punish
98,9395046.0,STR,Yuxi,In,1.0,Reward
99,9395046.0,INT,Yuxi,In,1.0,Reward
100,9395046.0,STR,Emma,Out,2.0,Reward
101,9395046.0,DIR,Yuxi,In,1.0,Punish
102,9395046.0,INT,Emma,Out,2.0,Reward
103,9395046.0,STR,Yuxi,In,1.0,Reward
104,9395046.0,INT,Emma,Out,2.0,Reward
105,9395046.0,DIR,Emma,Out,2.0,Punish
106,9395046.0,STR,Yuxi,In,1.0,Reward
107,9395046.0,INT,Yuxi,In,1.0,Punish
108,9395046.0,DIR,Emma,Out,2.0,Reward
109,9395046.0,DIR,Yuxi,In,1.0,Punish
110,9395046.0,INT,Emma,Out,2.0,Punish
111,9395046.0,STR,Emma,Out,2.0,Punish
112,9395046.0,INT,Yuxi,In,1.0,Punish
113,9395046.0,,,,,40-60
114,9394769.0,STR,Yuxi,In,1.0,Reward
115,9394769.0,DIR,Emma,Out,2.0,Reward
116,9394769.0,DIR,Yuxi,In,1.0,Reward
117,9394769.0,STR,Emma,Out,2.0,Punish
118,9394769.0,INT,Emma,Out,2.0,Reward
119,9394769.0,STR,Yuxi,In,1.0,Reward
120,9394769.0,DIR,Emma,Out,2.0,Punish
121,9394769.0,INT,Yuxi,In,1.0,Reward
122,9394769.0,STR,Emma,Out,2.0,Reward
123,9394769.0,INT,Yuxi,In,1.0,Punish
124,9394769.0,DIR,Yuxi,In,1.0,Reward
125,9394769.0,STR,Emma,Out,2.0,Punish
126,9394769.0,INT,Emma,Out,2.0,Reward
127,9394769.0,DIR,Yuxi,In,1.0,Punish
128,9394769.0,DIR,Emma,Out,2.0,Punish
129,9394769.0,INT,Yuxi,In,1.0,Reward
130,9394769.0,STR,Yuxi,In,1.0,Punish
131,9394769.0,INT,Emma,Out,2.0,Punish
132,9394769.0,,,,,60-40
133,9395094.0,STR,Yuxi,In,1.0,Reward
134,9395094.0,DIR,Emma,Out,2.0,Reward
135,9395094.0,DIR,Yuxi,In,1.0,Reward
136,9395094.0,STR,Emma,Out,2.0,Punish
137,9395094.0,INT,Emma,Out,2.0,Reward
138,9395094.0,STR,Yuxi,In,1.0,Punish
139,9395094.0,DIR,Emma,Out,2.0,Punish
140,9395094.0,INT,Yuxi,In,1.0,Punish
141,9395094.0,STR,Emma,Out,2.0,Reward
142,9395094.0,INT,Yuxi,In,1.0,Reward
143,9395094.0,DIR,Yuxi,In,1.0,Reward
144,9395094.0,STR,Emma,Out,2.0,Reward
145,9395094.0,INT,Emma,Out,2.0,Punish
146,9395094.0,DIR,Yuxi,In,1.0,Reward
147,9395094.0,DIR,Emma,Out,2.0,Reward
148,9395094.0,INT,Yuxi,In,1.0,Punish
149,9395094.0,STR,Yuxi,In,1.0,Punish
150,9395094.0,INT,Emma,Out,2.0,Punish
151,9395094.0,,,,,60-40
152,9395179.0,STR,Yuxi,In,1.0,Reward
153,9395179.0,DIR,Emma,Out,2.0,Reward
154,9395179.0,DIR,Yuxi,In,1.0,Reward
155,9395179.0,STR,Emma,Out,2.0,Reward
156,9395179.0,INT,Emma,Out,2.0,Punish
157,9395179.0,STR,Yuxi,In,1.0,Punish
158,9395179.0,DIR,Emma,Out,2.0,Punish
159,9395179.0,INT,Yuxi,In,1.0,Punish
160,9395179.0,STR,Emma,Out,2.0,Reward
161,9395179.0,INT,Yuxi,In,1.0,Reward
162,9395179.0,DIR,Yuxi,In,1.0,Punish
163,9395179.0,STR,Emma,Out,2.0,Reward
164,9395179.0,INT,Emma,Out,2.0,Punish
165,9395179.0,DIR,Yuxi,In,1.0,Reward
166,9395179.0,DIR,Emma,Out,2.0,Punish
167,9395179.0,INT,Yuxi,In,1.0,Reward
168,9395179.0,STR,Yuxi,In,1.0,Reward
169,9395179.0,INT,Emma,Out,2.0,Punish
170,9395179.0,,,,,40-60
171,9395261.0,STR,Yuxi,In,1.0,Punish
172,9395261.0,DIR,Emma,Out,2.0,Reward
173,9395261.0,DIR,Yuxi,In,1.0,Reward
174,9395261.0,STR,Emma,Out,2.0,Punish
175,9395261.0,INT,Emma,Out,2.0,Punish
176,9395261.0,STR,Yuxi,In,1.0,Reward
177,9395261.0,DIR,Emma,Out,2.0,Punish
178,9395261.0,INT,Yuxi,In,1.0,Reward
179,9395261.0,STR,Emma,Out,2.0,Reward
180,9395261.0,INT,Yuxi,In,1.0,Punish
181,9395261.0,DIR,Yuxi,In,1.0,Reward
182,9395261.0,STR,Emma,Out,2.0,Reward
183,9395261.0,INT,Emma,Out,2.0,Punish
184,9395261.0,DIR,Yuxi,In,1.0,Reward
185,9395261.0,DIR,Emma,Out,2.0,Punish
186,9395261.0,INT,Yuxi,In,1.0,Reward
187,9395261.0,STR,Yuxi,In,1.0,Punish
188,9395261.0,INT,Emma,Out,2.0,Reward
189,9395261.0,,,,,60-40
190,9394743.0,STR,Jack,Out,2.0,Reward
191,9394743.0,DIR,Haoyu,In,1.0,Reward
192,9394743.0,DIR,Jack,Out,2.0,Reward
193,9394743.0,STR,Haoyu,In,1.0,Reward
194,9394743.0,INT,Haoyu,In,1.0,Reward
195,9394743.0,STR,Jack,Out,2.0,Reward
196,9394743.0,DIR,Haoyu,In,1.0,Reward
197,9394743.0,INT,Jack,Out,2.0,Reward
198,9394743.0,STR,Haoyu,In,1.0,Reward
199,9394743.0,INT,Jack,Out,2.0,Punish
200,9394743.0,DIR,Jack,Out,2.0,Punish
201,9394743.0,STR,Haoyu,In,1.0,Punish
202,9394743.0,INT,Haoyu,In,1.0,Punish
203,9394743.0,DIR,Jack,Out,2.0,Reward
204,9394743.0,DIR,Haoyu,In,1.0,Punish
205,9394743.0,INT,Jack,Out,2.0,Punish
206,9394743.0,STR,Jack,Out,2.0,Punish
207,9394743.0,INT,Haoyu,In,1.0,Punish
208,9394743.0,,,,,60-40
209,9394746.0,STR,Jack,Out,2.0,Reward
210,9394746.0,DIR,Haoyu,In,1.0,Reward
211,9394746.0,DIR,Jack,Out,2.0,Reward
212,9394746.0,STR,Haoyu,In,1.0,Punish
213,9394746.0,INT,Haoyu,In,1.0,Reward
214,9394746.0,STR,Jack,Out,2.0,Reward
215,9394746.0,DIR,Haoyu,In,1.0,Reward
216,9394746.0,INT,Jack,Out,2.0,Punish
217,9394746.0,STR,Haoyu,In,1.0,Reward
218,9394746.0,INT,Jack,Out,2.0,Reward
219,9394746.0,DIR,Jack,Out,2.0,Reward
220,9394746.0,STR,Haoyu,In,1.0,Reward
221,9394746.0,INT,Haoyu,In,1.0,Punish
222,9394746.0,DIR,Jack,Out,2.0,Punish
223,9394746.0,DIR,Haoyu,In,1.0,Punish
224,9394746.0,INT,Jack,Out,2.0,Punish
225,9394746.0,STR,Jack,Out,2.0,Punish
226,9394746.0,INT,Haoyu,In,1.0,Punish
227,9394746.0,,,,,20-80
228,9394799.0,STR,Jack,Out,2.0,Reward
229,9394799.0,DIR,Haoyu,In,1.0,Reward
230,9394799.0,DIR,Jack,Out,2.0,Reward
231,9394799.0,STR,Haoyu,In,1.0,Reward
232,9394799.0,INT,Haoyu,In,1.0,Punish
233,9394799.0,STR,Jack,Out,2.0,Punish
234,9394799.0,DIR,Haoyu,In,1.0,Reward
235,9394799.0,INT,Jack,Out,2.0,Punish
236,9394799.0,STR,Haoyu,In,1.0,Reward
237,9394799.0,INT,Jack,Out,2.0,Punish
238,9394799.0,DIR,Jack,Out,2.0,Reward
239,9394799.0,STR,Haoyu,In,1.0,Reward
240,9394799.0,INT,Haoyu,In,1.0,Punish
241,9394799.0,DIR,Jack,Out,2.0,Reward
242,9394799.0,DIR,Haoyu,In,1.0,Reward
243,9394799.0,INT,Jack,Out,2.0,Punish
244,9394799.0,STR,Jack,Out,2.0,Punish
245,9394799.0,INT,Haoyu,In,1.0,Punish
246,9394799.0,,,,,60-40
247,9394846.0,STR,Jack,Out,2.0,Punish
248,9394846.0,DIR,Haoyu,In,1.0,Reward
249,9394846.0,DIR,Jack,Out,2.0,Reward
250,9394846.0,STR,Haoyu,In,1.0,Punish
251,9394846.0,INT,Haoyu,In,1.0,Reward
252,9394846.0,STR,Jack,Out,2.0,Reward
253,9394846.0,DIR,Haoyu,In,1.0,Reward
254,9394846.0,INT,Jack,Out,2.0,Reward
255,9394846.0,STR,Haoyu,In,1.0,Reward
256,9394846.0,INT,Jack,Out,2.0,Reward
257,9394846.0,DIR,Jack,Out,2.0,Punish
258,9394846.0,STR,Haoyu,In,1.0,Punish
259,9394846.0,INT,Haoyu,In,1.0,Reward
260,9394846.0,DIR,Jack,Out,2.0,Reward
261,9394846.0,DIR,Haoyu,In,1.0,Punish
262,9394846.0,INT,Jack,Out,2.0,Punish
263,9394846.0,STR,Jack,Out,2.0,Punish
264,9394846.0,INT,Haoyu,In,1.0,Punish
265,9394846.0,,,,,60-40
266,9394852.0,STR,Jack,Out,2.0,Punish
267,9394852.0,DIR,Haoyu,In,1.0,Reward
268,9394852.0,DIR,Jack,Out,2.0,Reward
269,9394852.0,STR,Haoyu,In,1.0,Punish
270,9394852.0,INT,Haoyu,In,1.0,Reward
271,9394852.0,STR,Jack,Out,2.0,Punish
272,9394852.0,DIR,Haoyu,In,1.0,Punish
273,9394852.0,INT,Jack,Out,2.0,Reward
274,9394852.0,STR,Haoyu,In,1.0,Reward
275,9394852.0,INT,Jack,Out,2.0,Reward
276,9394852.0,DIR,Jack,Out,2.0,Punish
277,9394852.0,STR,Haoyu,In,1.0,Reward
278,9394852.0,INT,Haoyu,In,1.0,Reward
279,9394852.0,DIR,Jack,Out,2.0,Reward
280,9394852.0,DIR,Haoyu,In,1.0,Punish
281,9394852.0,INT,Jack,Out,2.0,Reward
282,9394852.0,STR,Jack,Out,2.0,Punish
283,9394852.0,INT,Haoyu,In,1.0,Punish
284,9394852.0,,,,,60-40
285,9394818.0,STR,Haoyu,In,1.0,Reward
286,9394818.0,DIR,Jack,Out,2.0,Punish
287,9394818.0,DIR,Haoyu,In,1.0,Punish
288,9394818.0,STR,Jack,Out,2.0,Reward
289,9394818.0,INT,Jack,Out,2.0,Punish
290,9394818.0,STR,Haoyu,In,1.0,Reward
291,9394818.0,DIR,Jack,Out,2.0,Punish
292,9394818.0,INT,Haoyu,In,1.0,Punish
293,9394818.0,STR,Jack,Out,2.0,Reward
294,9394818.0,INT,Haoyu,In,1.0,Reward
295,9394818.0,DIR,Haoyu,In,1.0,Punish
296,9394818.0,STR,Jack,Out,2.0,Reward
297,9394818.0,INT,Jack,Out,2.0,Reward
298,9394818.0,DIR,Haoyu,In,1.0,Punish
299,9394818.0,DIR,Jack,Out,2.0,Punish
300,9394818.0,INT,Haoyu,In,1.0,Reward
301,9394818.0,STR,Haoyu,In,1.0,Reward
302,9394818.0,INT,Jack,Out,2.0,Reward
303,9394818.0,,,,,60-40
304,9394866.0,STR,Haoyu,In,1.0,Reward
305,9394866.0,DIR,Jack,Out,2.0,Reward
306,9394866.0,DIR,Haoyu,In,1.0,Punish
307,9394866.0,STR,Jack,Out,2.0,Reward
308,9394866.0,INT,Jack,Out,2.0,Punish
309,9394866.0,STR,Haoyu,In,1.0,Reward
310,9394866.0,DIR,Jack,Out,2.0,Reward
311,9394866.0,INT,Haoyu,In,1.0,Punish
312,9394866.0,STR,Jack,Out,2.0,Reward
313,9394866.0,INT,Haoyu,In,1.0,Reward
314,9394866.0,DIR,Haoyu,In,1.0,Reward
315,9394866.0,STR,Jack,Out,2.0,Punish
316,9394866.0,INT,Jack,Out,2.0,Punish
317,9394866.0,DIR,Haoyu,In,1.0,Punish
318,9394866.0,DIR,Jack,Out,2.0,Reward
319,9394866.0,INT,Haoyu,In,1.0,Punish
320,9394866.0,STR,Haoyu,In,1.0,Reward
321,9394866.0,INT,Jack,Out,2.0,Punish
322,9394866.0,,,,,40-60
323,9394778.0,STR,Haoyu,In,1.0,Reward
324,9394778.0,DIR,Jack,Out,2.0,Reward
325,9394778.0,DIR,Haoyu,In,1.0,Reward
326,9394778.0,STR,Jack,Out,2.0,Reward
327,9394778.0,INT,Jack,Out,2.0,Reward
328,9394778.0,STR,Haoyu,In,1.0,Reward
329,9394778.0,DIR,Jack,Out,2.0,Reward
330,9394778.0,INT,Haoyu,In,1.0,Reward
331,9394778.0,STR,Jack,Out,2.0,Reward
332,9394778.0,INT,Haoyu,In,1.0,Reward
333,9394778.0,DIR,Haoyu,In,1.0,Punish
334,9394778.0,STR,Jack,Out,2.0,Punish
335,9394778.0,INT,Jack,Out,2.0,Punish
336,9394778.0,DIR,Haoyu,In,1.0,Punish
337,9394778.0,DIR,Jack,Out,2.0,Punish
338,9394778.0,INT,Haoyu,In,1.0,Punish
339,9394778.0,STR,Haoyu,In,1.0,Punish
340,9394778.0,INT,Jack,Out,2.0,Punish
341,9394778.0,,,,,100-0
342,9394773.0,STR,Haoyu,In,1.0,Reward
343,9394773.0,DIR,Jack,Out,2.0,Reward
344,9394773.0,DIR,Haoyu,In,1.0,Punish
345,9394773.0,STR,Jack,Out,2.0,Punish
346,9394773.0,INT,Jack,Out,2.0,Reward
347,9394773.0,STR,Haoyu,In,1.0,Punish
348,9394773.0,DIR,Jack,Out,2.0,Reward
349,9394773.0,INT,Haoyu,In,1.0,Punish
350,9394773.0,STR,Jack,Out,2.0,Reward
351,9394773.0,INT,Haoyu,In,1.0,Punish
352,9394773.0,DIR,Haoyu,In,1.0,Punish
353,9394773.0,STR,Jack,Out,2.0,Reward
354,9394773.0,INT,Jack,Out,2.0,Reward
355,9394773.0,DIR,Haoyu,In,1.0,Punish
356,9394773.0,DIR,Jack,Out,2.0,Reward
357,9394773.0,INT,Haoyu,In,1.0,Punish
358,9394773.0,STR,Haoyu,In,1.0,Reward
359,9394773.0,INT,Jack,Out,2.0,Reward
360,9394773.0,,,,,20-80
361,9394801.0,STR,Haoyu,In,1.0,Punish
362,9394801.0,DIR,Jack,Out,2.0,Punish
363,9394801.0,DIR,Haoyu,In,1.0,Reward
364,9394801.0,STR,Jack,Out,2.0,Punish
365,9394801.0,INT,Jack,Out,2.0,Reward
366,9394801.0,STR,Haoyu,In,1.0,Punish
367,9394801.0,DIR,Jack,Out,2.0,Reward
368,9394801.0,INT,Haoyu,In,1.0,Reward
369,9394801.0,STR,Jack,Out,2.0,Reward
370,9394801.0,INT,Haoyu,In,1.0,Reward
371,9394801.0,DIR,Haoyu,In,1.0,Reward
372,9394801.0,STR,Jack,Out,2.0,Reward
373,9394801.0,INT,Jack,Out,2.0,Punish
374,9394801.0,DIR,Haoyu,In,1.0,Punish
375,9394801.0,DIR,Jack,Out,2.0,Punish
376,9394801.0,INT,Haoyu,In,1.0,Punish
377,9394801.0,STR,Haoyu,In,1.0,Reward
378,9394801.0,INT,Jack,Out,2.0,Reward
379,9394801.0,,,,,40-60
