Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-jqbz,randomiser-745l,randomiser-hhua,Randomise questionnaire elements?,Question Key,Response
1,1695231251011,20/09/2023 17:34:11,1695231251478,-4,20/09/2023 13:34:11,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,BEGIN QUESTIONNAIRE,
2,1695231257628,20/09/2023 17:34:17,1695231258139,-4,20/09/2023 13:34:18,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS1,7
3,1695231257727,20/09/2023 17:34:17,1695231258143,-4,20/09/2023 13:34:18,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS2,7
4,1695231257727,20/09/2023 17:34:17,1695231258143,-4,20/09/2023 13:34:18,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS3,7
5,1695231257727,20/09/2023 17:34:17,1695231258143,-4,20/09/2023 13:34:18,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,EIS4,7
6,1695231257727,20/09/2023 17:34:17,1695231258144,-4,20/09/2023 13:34:18,139457,3,questionnaire-iqsy,,31767222,BLIND,9394743,,complete,,e8c4970a-2376-4c6d-8b60-299c04c77c96,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x931,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut,No,END QUESTIONNAIRE,6666
1,1695231375084,20/09/2023 17:36:15,1695231374903,-4,20/09/2023 13:36:14,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1368x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,BEGIN QUESTIONNAIRE,
2,1695231385709,20/09/2023 17:36:25,1695231385593,-4,20/09/2023 13:36:25,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,EIS1,5
3,1695231385846,20/09/2023 17:36:25,1695231385594,-4,20/09/2023 13:36:25,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,EIS2,4
4,1695231385846,20/09/2023 17:36:25,1695231385594,-4,20/09/2023 13:36:25,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,EIS3,4
5,1695231385846,20/09/2023 17:36:25,1695231385594,-4,20/09/2023 13:36:25,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,EIS4,5
6,1695231385846,20/09/2023 17:36:25,1695231385594,-4,20/09/2023 13:36:25,139457,3,questionnaire-iqsy,,31767282,BLIND,9394750,,complete,,f095a9d6-8dd0-4798-b72d-87c5b4d25d11,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 104.0.0.0,1728x1117,1353x938,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,FemaleBranch,Female_InIn_Swap,,No,END QUESTIONNAIRE,10691
1,1695231380924,20/09/2023 17:36:20,1695231379715,-5,20/09/2023 12:36:19,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695231396652,20/09/2023 17:36:36,1695231395517,-5,20/09/2023 12:36:35,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,4
3,1695231396802,20/09/2023 17:36:36,1695231395519,-5,20/09/2023 12:36:35,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS2,3
4,1695231396802,20/09/2023 17:36:36,1695231395519,-5,20/09/2023 12:36:35,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS3,5
5,1695231396802,20/09/2023 17:36:36,1695231395519,-5,20/09/2023 12:36:35,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS4,4
6,1695231396802,20/09/2023 17:36:36,1695231395519,-5,20/09/2023 12:36:35,139457,3,questionnaire-iqsy,,31767285,BLIND,9394744,,complete,,7480e1a0-97a9-4192-af68-fc23ce2b63a0,computer,Desktop or Laptop,Windows 10,Firefox 117.0,2144x1206,2144x1066,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,15804
1,1695231482003,20/09/2023 17:38:02,1695231481645,-5,20/09/2023 12:38:01,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695231493863,20/09/2023 17:38:13,1695231493549,-5,20/09/2023 12:38:13,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS1,6
3,1695231493995,20/09/2023 17:38:13,1695231493550,-5,20/09/2023 12:38:13,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS2,5
4,1695231493995,20/09/2023 17:38:13,1695231493550,-5,20/09/2023 12:38:13,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS3,4
5,1695231493995,20/09/2023 17:38:13,1695231493550,-5,20/09/2023 12:38:13,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS4,3
6,1695231493995,20/09/2023 17:38:13,1695231493550,-5,20/09/2023 12:38:13,139457,3,questionnaire-iqsy,,31767321,BLIND,9394745,,complete,,8d12558a-fe73-4d7a-a61e-c99e5d1c36e0,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,3440x1440,3399x1339,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,11905
1,1695231646990,20/09/2023 17:40:46,1695231639960,-4,20/09/2023 13:40:39,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1707x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695231658471,20/09/2023 17:40:58,1695231651218,-4,20/09/2023 13:40:51,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS1,7
3,1695231658736,20/09/2023 17:40:58,1695231651219,-4,20/09/2023 13:40:51,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS2,6
4,1695231658736,20/09/2023 17:40:58,1695231651220,-4,20/09/2023 13:40:51,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS3,7
5,1695231658736,20/09/2023 17:40:58,1695231651220,-4,20/09/2023 13:40:51,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS4,6
6,1695231658736,20/09/2023 17:40:58,1695231651220,-4,20/09/2023 13:40:51,139457,3,questionnaire-iqsy,,31767384,BLIND,9394739,,complete,,576b87a8-8fd8-4b32-803f-f4e93faed1f9,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1688x821,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,11260
1,1695231966167,20/09/2023 17:46:06,1695231966408,-7,20/09/2023 10:46:06,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2560x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695231975982,20/09/2023 17:46:15,1695231976276,-7,20/09/2023 10:46:16,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2543x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,4
3,1695231976183,20/09/2023 17:46:16,1695231976277,-7,20/09/2023 10:46:16,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2543x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS2,2
4,1695231976183,20/09/2023 17:46:16,1695231976277,-7,20/09/2023 10:46:16,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2543x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS3,3
5,1695231976183,20/09/2023 17:46:16,1695231976277,-7,20/09/2023 10:46:16,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2543x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS4,3
6,1695231976183,20/09/2023 17:46:16,1695231976277,-7,20/09/2023 10:46:16,139457,3,questionnaire-iqsy,,31767552,BLIND,9394787,,complete,,b358d3ec-0584-4bab-91af-fd648678c490,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1080,2543x969,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,9869
1,1695232017468,20/09/2023 17:46:57,1695232016829,-7,20/09/2023 10:46:56,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,BEGIN QUESTIONNAIRE,
2,1695232040840,20/09/2023 17:47:20,1695232040261,-7,20/09/2023 10:47:20,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS1,6
3,1695232041019,20/09/2023 17:47:21,1695232040262,-7,20/09/2023 10:47:20,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS2,6
4,1695232041019,20/09/2023 17:47:21,1695232040262,-7,20/09/2023 10:47:20,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS3,6
5,1695232041019,20/09/2023 17:47:21,1695232040262,-7,20/09/2023 10:47:20,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,EIS4,6
6,1695232041019,20/09/2023 17:47:21,1695232040263,-7,20/09/2023 10:47:20,139457,3,questionnaire-iqsy,,31767579,BLIND,9394773,,complete,,3da796d3-869e-4431-931b-55415f552980,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x782,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InOut_Swap,No,END QUESTIONNAIRE,23434
1,1695232017851,20/09/2023 17:46:57,1695232018658,-4,20/09/2023 13:46:58,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1280x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,BEGIN QUESTIONNAIRE,
2,1695232028180,20/09/2023 17:47:08,1695232029026,-4,20/09/2023 13:47:09,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1263x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS1,6
3,1695232028328,20/09/2023 17:47:08,1695232029027,-4,20/09/2023 13:47:09,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1263x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS2,5
4,1695232028328,20/09/2023 17:47:08,1695232029027,-4,20/09/2023 13:47:09,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1263x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS3,5
5,1695232028328,20/09/2023 17:47:08,1695232029027,-4,20/09/2023 13:47:09,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1263x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,EIS4,4
6,1695232028328,20/09/2023 17:47:08,1695232029027,-4,20/09/2023 13:47:09,139457,3,questionnaire-iqsy,,31767588,BLIND,9394748,,complete,,c7e94003-e8cf-4ea4-b581-2add0aedb073,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1280x720,1263x603,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn,No,END QUESTIONNAIRE,10369
1,1695232191039,20/09/2023 17:49:51,1695232190704,-4,20/09/2023 13:49:50,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695232200553,20/09/2023 17:50:00,1695232200289,-4,20/09/2023 13:50:00,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,6
3,1695232200677,20/09/2023 17:50:00,1695232200290,-4,20/09/2023 13:50:00,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS2,6
4,1695232200677,20/09/2023 17:50:00,1695232200290,-4,20/09/2023 13:50:00,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS3,6
5,1695232200677,20/09/2023 17:50:00,1695232200290,-4,20/09/2023 13:50:00,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS4,6
6,1695232200677,20/09/2023 17:50:00,1695232200290,-4,20/09/2023 13:50:00,139457,3,questionnaire-iqsy,,31767646,BLIND,9394806,,complete,,e33ae867-7e62-46a8-984e-4de90bc28444,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,3072x1728,1282x1342,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,END QUESTIONNAIRE,9586
1,1695232247480,20/09/2023 17:50:47,1695232247347,-7,20/09/2023 10:50:47,139457,3,questionnaire-iqsy,,31767664,BLIND,9394804,,complete,,47da4b67-e7fb-4e62-90d4-2838aba6c856,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1920x923,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,BEGIN QUESTIONNAIRE,
2,1695232261048,20/09/2023 17:51:01,1695232260960,-7,20/09/2023 10:51:00,139457,3,questionnaire-iqsy,,31767664,BLIND,9394804,,complete,,47da4b67-e7fb-4e62-90d4-2838aba6c856,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x923,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS1,6
3,1695232261239,20/09/2023 17:51:01,1695232260961,-7,20/09/2023 10:51:00,139457,3,questionnaire-iqsy,,31767664,BLIND,9394804,,complete,,47da4b67-e7fb-4e62-90d4-2838aba6c856,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x923,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS2,1
4,1695232261239,20/09/2023 17:51:01,1695232260961,-7,20/09/2023 10:51:00,139457,3,questionnaire-iqsy,,31767664,BLIND,9394804,,complete,,47da4b67-e7fb-4e62-90d4-2838aba6c856,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x923,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS3,3
5,1695232261239,20/09/2023 17:51:01,1695232260961,-7,20/09/2023 10:51:00,139457,3,questionnaire-iqsy,,31767664,BLIND,9394804,,complete,,47da4b67-e7fb-4e62-90d4-2838aba6c856,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1920x1080,1903x923,,,,"Ethnic Identity 7-point scale - Sidanius et al., 2008",2,MaleBranch,,Male_InIn_Swap,No,EIS4,1
